Origin [city=Belmont, mainRoad=US-101 N, crossRoad=RALSTON AVE, node=323]
Origin [city=Belmont, mainRoad=US-101 S, crossRoad=RALSTON AVE, node=323]
Origin [city=Belvedere, mainRoad=TIBURON BLVD, crossRoad=US-101, node=175]
Origin [city=Benicia, mainRoad=I-680, crossRoad=I-780, node=1138]
Origin [city=Benicia, mainRoad=I-680 N, crossRoad=I-780 W, node=1138]
Origin [city=Benicia, mainRoad=I-680 N-I-780 W RAMP, crossRoad=I-680 N, node=1138]
Origin [city=Benicia, mainRoad=I-680 S, crossRoad=I-780 E, node=1138]
Origin [city=Benicia, mainRoad=I-780 E-I-680 S RAMP, crossRoad=I-680 S, node=1138]
Origin [city=Berkeley, mainRoad=I-580 E, crossRoad=UNIVERSITY AVE, node=1222]
Origin [city=Berkeley, mainRoad=I-580 W, crossRoad=UNIVERSITY AVE, node=1222]
Origin [city=Berkeley, mainRoad=I-80, crossRoad=UNIVERSITY AVE, node=1222]
Origin [city=Berkeley, mainRoad=I-80 E, crossRoad=UNIVERSITY AVE, node=1222]
Origin [city=Berkeley, mainRoad=I-80 W, crossRoad=UNIVERSITY AVE, node=1222]
Origin [city=Bethel Island, mainRoad=CA-160, crossRoad=MAIN ST, node=2018]
Origin [city=Blackhawk, mainRoad=CROW CANYON RD, crossRoad=I-680, node=468]
Origin [city=Bodega, mainRoad=CA-1, crossRoad=VALLEY FORD RD, node=164]
Origin [city=Bodega Bay, mainRoad=CA-1, crossRoad=VALLEY FORD RD, node=164]
Origin [city=Bolinas, mainRoad=CA-1, crossRoad=PANORAMIC HWY, node=159]
Origin [city=Brentwood, mainRoad=CA-4, crossRoad=Sand Creek Rd, node=2015]
Origin [city=Brentwood, mainRoad=CA-4 E, crossRoad=BYRON HWY, node=1508]
Origin [city=Brentwood, mainRoad=CA-4 E, crossRoad=SAND CREEK RD, node=2015]
Origin [city=Brentwood, mainRoad=CA-4 W, crossRoad=BYRON HWY, node=1508]
Origin [city=Brentwood, mainRoad=CA-4 W, crossRoad=SAND CREEK RD, node=2015]
Origin [city=Brisbane, mainRoad=OYSTER POINT BLVD, crossRoad=US-101, node=388]
Origin [city=Brisbane, mainRoad=US-101 N, crossRoad=BEATTY RD, node=390]
Origin [city=Brisbane, mainRoad=US-101 S, crossRoad=BEATTY RD, node=390]
Origin [city=Burlingame, mainRoad=BROADWAY, crossRoad=US-101, node=272]
Origin [city=Burlingame, mainRoad=I-280 N, crossRoad=TROUSDALE DR, node=1064]
Origin [city=Burlingame, mainRoad=I-280 S, crossRoad=TROUSDALE DR, node=1064]
Origin [city=Burlingame, mainRoad=US-101 N, crossRoad=BROADWAY, node=272]
Origin [city=Burlingame, mainRoad=US-101 S, crossRoad=BROADWAY, node=272]
Origin [city=Byron, mainRoad=CA-4, crossRoad=Byron Hwy, node=1508]
Origin [city=Calistoga, mainRoad=CA-29, crossRoad=WASHINGTON ST, node=2148]
Origin [city=Campbell, mainRoad=CA-17, crossRoad=E HAMILTON AVE, node=648]
Origin [city=Campbell, mainRoad=CA-17 N, crossRoad=E HAMILTON AVE, node=648]
